Country,Continental Region,Statistical Region,Population
Rwanda,Africa,Eastern Africa,12626950
Saint Barthélemy,Americas,Caribbean,9793
Saint Helena and Ascension and Tristan da Cunha,Africa,Western Africa,6059
Saint Kitts and Nevis,Americas,Caribbean,52823
Saint Lucia,Americas,Caribbean,182790
Saint Martin,Americas,Caribbean,35107
Saint Pierre and Miquelon,Americas,Northern America,5822
Saint Vincent and the Grenadines,Americas,Caribbean,110589
Samoa,Oceania,Polynesia,197097
San Marino,Europe,Southern Europe,33860
São Tomé and Príncipe,Africa,Middle Africa,215056
Saudi Arabia,Asia,Western Asia,34268528
Senegal,Africa,Western Africa,16296364
Serbia,Europe,Southern Europe,6963764
Seychelles,Africa,Eastern Africa,97739
Sierra Leone,Africa,Western Africa,7813215
Singapore,Asia,South-eastern Asia,5804337
Sint Maarten,Americas,Caribbean,42388
Slovakia,Europe,Eastern Europe,5457013
Slovenia,Europe,Southern Europe,2078654
Solomon Islands,Oceania,Melanesia,669823
Somalia,Africa,Eastern Africa,15442905
South Africa,Africa,Southern Africa,58558270
South Sudan,Africa,Eastern Africa,11062113
Spain,Europe,Southern Europe,46736776
Sri Lanka,Asia,Southern Asia,21323733
Sudan,Africa,Northern Africa,42813238
Suriname,Americas,South America,581372
Sweden,Europe,Northern Europe,10036379
Switzerland,Europe,Western Europe,8591365
Syria,Asia,Western Asia,17070135
Taiwan,Asia,Eastern Asia,23773876
Tajikistan,Asia,Central Asia,9321018
Tanzania,Africa,Eastern Africa,58005463
Thailand,Asia,South-eastern Asia,69037513
Togo,Africa,Western Africa,8082366
Tokelau,Oceania,Polynesia,1340
Tonga,Oceania,Polynesia,110940
Trinidad and Tobago,Americas,Caribbean,1394973
Tunisia,Africa,Northern Africa,11694719
Turkey,Asia,Western Asia,83429615
Turkmenistan,Asia,Central Asia,5942089
Turks and Caicos Islands,Americas,Caribbean,38191
Tuvalu,Oceania,Polynesia,11646
Uganda,Africa,Eastern Africa,44269594
Ukraine,Europe,Eastern Europe,43993638
United Arab Emirates,Asia,Western Asia,9770529
United Kingdom,Europe,Northern Europe,67530172
United States,Americas,Northern America,329064917
United States Virgin Islands,Americas,Caribbean,104578
Uruguay,Americas,South America,3461734
Uzbekistan,Asia,Central Asia,32981716
Vanuatu,Oceania,Melanesia,299882
Vatican City,Europe,Southern Europe,799
Venezuela,Americas,South America,28515829
Vietnam,Asia,South-eastern Asia,96462106
Wallis and Futuna,Oceania,Polynesia,11432
Western Sahara,Africa,Northern Africa,582463
Yemen,Asia,Western Asia,29161922
Zambia,Africa,Eastern Africa,17861030
Zimbabwe,Africa,Eastern Africa,14645468
